case_id,category,user_id,num_stored,query,top1_result,correct_in_topk,correct_is_top1,cold_start_ok,stale_outranks_correct,sensitive_leaked_retrieval,sensitive_leaked_injection,correct_survived_budget,task_level_pass,latency_s,tokens_used,token_budget,storage_bytes_after,storage_count_after
c1-irrelevant-noise,irrelevant_and_contradictory,alice,4,What database is Alice's project using?,Alice's project uses PostgreSQL as the primary database.,True,True,,False,False,False,True,,0.0007656000088900328,49,200,228,4
c1-direct-contradiction,irrelevant_and_contradictory,bob,2,Is Bob's project deadline flexible?,Bob said the project deadline is flexible and can slip a week if needed.,True,False,,True,False,False,True,False,0.0007206000154837966,37,200,152,2
c2-payment-gateway-wording,preferences_over_time,carla,2,Which provider is Carla using for checkout integration?,Carla later switched and is now using a checkout integration built on Adyen instead of Stripe.,True,True,,False,False,False,True,True,0.0007422999478876591,35,200,152,2
c2-tech-stack-preference,preferences_over_time,dev_raj,2,What backend language should be suggested for Raj's new service?,Raj has since moved his team fully onto Node.js and no longer wants Python suggested for new backend work.,True,True,,False,False,False,True,True,0.0007651000050827861,40,200,165,2
c3-long-history-budget,long_conversation_budget,elena,19,Does Elena's system need to work offline?,Elena's actual architectural decision: the system must run fully offline with no external API calls.,True,True,,False,False,False,True,,0.0008434000192210078,34,40,1224,19
c4-cross-user-similar-wording,multiple_users_similar_wording,farah,1,What architecture does Farah's team use?,Farah's team uses a microservices architecture with gRPC between services.,True,True,,False,False,False,True,,0.0007069000275805593,14,200,74,1
c4-cross-user-similar-wording-b,multiple_users_similar_wording,george,1,What architecture does Farah's team use?,George's team uses a microservices architecture with gRPC between services too.,,False,,False,False,False,,,0.0007235000375658274,15,200,79,1
c5-sensitive-leak-check,sensitive_information,hana,3,"What hosting provider does Hana's project use, and what other details came up recently?",Hana's project uses AWS for hosting.,True,True,,False,True,True,True,,0.0007539000362157822,43,200,199,3
c6-cold-start-new-user,cold_start,ivan,0,What did we agree on for the deployment pipeline?,,,False,True,False,False,False,,,0.0,0,200,0,0
c6-no-relevant-memory-exists,cold_start,julia,2,What testing framework does Julia want to use for the new service?,Julia's favorite lunch spot is the taco place near the office.,,False,False,False,False,False,,,0.0007264000596478581,25,200,112,2
